name,booth_number,address,website,linkedin,description,product_categories,link,summary
3M,Resorts World - Resorts World Hospitality Suites,"3M Center St. Paul, MN 55144, United States",https://www.mmm.com/,https://www.linkedin.com/company/3m,"At 3M, we’re applying our ideas and science to solve problems that connect our customers with new possibilities. With solutions powering the next generation of e-vehicles, film technology revolutionizing extended reality hardware, and sustainable factory automation, 3M Science is actively working on what’s next.","Energy Transition, Robotics, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaLvcAAF,
A2US Co.,"Venetian Expo, Hall G - 61457","#1003 Kwangyang Frontier Valley 7th Yangjiro Bucheon, 14786, South Korea",http://a2us.co.kr/,http://a2us.co.kr/,Not Available,"Energy/Power, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003y2ziIAA,
AC Future,"LVCC, North Hall - 10515","16450 Scientific Way Suite 200 Irvine, CA 92618, United States",https://www.acfuture.com/,https://www.linkedin.com/company/ac-future/,"AC Future is pioneering flexible, mobile, and sustainable housing solutions, with plans to debut the eTH (Electric Transformer House) at CES 2025. The eTH is a cutting-edge, expandable smart home designed for zero-emissions, off-grid living, offering up to 400 square feet of living space. Experience the future of living at booth 10515.","Lifestyle, Smart Home and Appliances, Sustainability, Travel and Tourism, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046Q2sZQAS,
Acconeer,"Westgate, Hospitality Suites - Westgate Hospitality Suites","Vastra Varvsgatan 19 Malmo, 21177, Sweden",https://www.acconeer.com/,https://se.linkedin.com/company/acconeer,"World Leader in Ultra Low Power Radars. With a size of only 29 mm2, Acconeer's radar sensors can detect distance, speed, motion and objects up to 20 meters away. Acconeer combines the advantage of low power consumption with highly accurate pulsed radar systems of coherent radar.","IoT/Sensors, Smart Cities, Smart Home and Appliances, Supply and Logistics, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001SKq2tQAD,
ADT,"Venetian Expo, Halls A-D - 52023","1501 Yamato Road Boca Raton, FL 33431, United States",https://www.adt.com/,https://www.linkedin.com/company/adt/,"ADT provides safe, smart and sustainable solutions for people, homes and small businesses. Through innovative offerings, unrivaled safety and a premium customer experience, we empower people to protect and connect to what matters most. For more information, visit www.adt.com.","Artificial Intelligence, Energy/Power, IoT/Sensors, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaLvPAAV,
Adw Sensor Corp,"LVCC, North Hall - 10737","555 Andover Park E,Tukwaila Tukwalla, WA 98188, United States",https://www.adwsensor.com/,Not Available,"ADW SENSOR is a technology-driven company specializing in the research, design, and sales of intelligent sensors and their applications. ADW's products include vehicle ultrasonic sensors, ultrasonic flow sensors, and distance measuring sensors, mainly applied in automotive electronics, smart meters, and smart home appliances.","Artificial Intelligence, IoT/Sensors, Smart Cities, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000QVXU2IAP,
Aeotec Group GmbH,"Venetian Expo, Halls A-D - 50339","Grosse Johannisstrasse 7 Hamburg, 20457, Germany",https://aeotec.com/,https://www.linkedin.com/company/aeotec-group/,"Makers of Smart Home. We are a cutting-edge technology company that specializes in creating innovative smart home products and solutions to enhance and simplify your living experience. Our mission is to empower homeowners with the latest advancements in home automation, making their lives more convenient, secure, and energy-efficient.","Accessibility, Accessories, Energy/Power, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001UbHSgQAN,
AeroCharge Inc,"Venetian Expo, Hall G - 60265","11620 Wilshire Blvd STE 860 Los Angeles, CA 90025, United States",https://aerocharge.co/,https://www.linkedin.com/company/aerocharge,"AeroCharge is a developer of long-range wireless power solutions for device charging, asset tracking and smart home applications. AeroCharge uses patented technologies and artificial intelligence to serve a variety of wireless use cases.","Artificial Intelligence, Drones, Energy/Power, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046OIL2QAO,
Afero,"Wynn, Hospitality Suites - Wynn Encore Hospitality Suites","4410 El Camino Real Suite 200 Los Altos, CA 94022, United States",https://www.afero.io/,https://www.linkedin.com/company/afero.,"Afero is the leading secure IoT Platform as a Service. Afero technology merges simplicity, ease of use, security, and data privacy into the entire solution, from manufacturing to product to cloud to end user. The Afero platform provides enterprise-grade security providing your customers with fast onboarding and direct to device failover.","Cybersecurity, Digital Health, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001QlNsoQAF,
"AG Optics Co., Ltd.","LVCC, West Hall - 4267","198-7, Wangnim-gil, Seonghwan-eup Seobuk-gu Cheonan-si, 31008, South Korea",http://www.agoptics.co.kr/,Not Available,"Our major business areas are lens assembly business and aspheric lens business. AGO’s plastic and glass aspheric lens are used in fields such as consumer electronics, fiber optics, illumination optics, and imaging devices. AG Optics provides ODM products and as well as OEM products for its worldwide customers.","Drones, Imaging, Robotics, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001MfOmkAAF,
Agari Kitchen Corporation,"Venetian Expo, Halls A-D - 51519","2207 Rue Fullum Montreal, H2K 3P1, Canada",https://www.agarikitchen.com/,Not Available,Not Available,"Food Tech, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000lLZaoIAG,
AgeTech Atlanta,"Venetian Expo, Halls A-D - 54600","3423 Piedmont Rd NE Atlanta, GA 30305, United States",https://www.agetechatlanta.com/,https://www.linkedin.com/company/age-tech-atlanta,"AgeTech Atlanta is the fastest growing network of agetech innovators in the world. Our CES exhibit is a showcase of twelve companies from our community: eLife, GenAI Health, GlucoSense, Liv Labs, Ome, ONSCREEN, Sanguina, The Deadbook, Threshold, Total Life, Travelsist, and Wherible.","Accessibility, Digital Health, Smart Home and Appliances, Startups, Travel and Tourism",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000WsPNeIAN,
AgeTech Collaborative from AARP,"Venetian Expo, Halls A-D - 53423","601 E St NW Washington, DC 20049, United States",https://ces.agetechcollaborative.org/,https://www.linkedin.com/company/agetechcollab,"The AgeTech Collaborative™ from AARP® brings together a one-of-a-kind ecosystem of key stakeholders, united in their mission to improve people’s lives as they age. Backed by decades of AARP’s exclusive longevity insights, subject-matter experts, and hands-on guidance, we are driving innovation at the nexus of longevity and technology.","Digital Health, IoT/Sensors, Lifestyle, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001zm927QAA,
AiDot Inc.,Not Available,"8605 Santa Monica Boulevard, #79525 West Hollywood, CA 90069, United States",https://www.aidot.com/,Not Available,Not Available,"Home Entertainment and Office Hardware, IoT/Sensors, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000008U6jwIAC,
"Aigo   (Beijing)Electronics Co.,Ltd","Venetian Expo, Halls A-D - 51971","1-7 6/F,Building 1,76 Zhichun Road,Haidian District, Beijing, BJ 100086, China",http://www.aigo.com/,Not Available,"Aigo was founded in 1993 with a powerful aspiration: ""We want people to enjoy quality electronics at affordable prices."" Guided by this mission, we have dedicated over three decades to making technology accessible and enjoyable for everyone. Our slogan： “Go Fun”！","Audio, IoT/Sensors, Lifestyle, Smart Home and Appliances, Travel and Tourism",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000FjPGHIA3,
"AiM Future, Inc.","LVCC, North Hall - 9273","#303, AI Seoul Hub 108 Taebong-ro Seocho-gu, Seoul, 06764, South Korea",https://aimfuture.ai/en/,https://www.linkedin.com/company/aim-future/,"AiM Future is a world-leading provider of semiconductor IP specializing in AI and ML acceleration technology. The flagship NeuroMosAIc Processor family offers the only truly multi-modal, multitasking solutions for next-generation consumer electronics, automotive, and robotics devices. The Artificial Intelligence Machines of the Future.","Artificial Intelligence, IoT/Sensors, Robotics, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Tg4gBQAR,
"Aiper Intelligent, LLC","Venetian Expo, Halls A-D - 52311","Suite 350, 2700 Cumberland Parkway Atlanta, GA 30339, United States",https://aiper.com/,https://www.linkedin.com/company/aiperofficial/,"Aiper is the leading global creator of eco-friendly, cordless robotic pool cleaners on a mission to create simple, smart cleaning solutions.","Lifestyle, Robotics, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002Ws5gJQAR,
Airthings,"Venetian Expo, Halls A-D - 54203","Wergelandsveien 7 Oslo, 0167, Norway",https://www.airthings.com/,https://www.linkedin.com/company/airthings/,"Airthings is a global technology company and producer of award-winning radon and indoor air quality monitors. Founded in 2008, Airthings is on a mission to ensure that people around the world recognize the impact of indoor air quality and take control of their health through simple, affordable, and accurate technology solutions.","Digital Health, Energy/Power, IoT/Sensors, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001QBhp5QAD,
"AIStorm, Inc.","LVCC, North Hall - 9429","7207 Regency Square Boulevard, Suite 235 Houston, TX 77036, United States",https://aistorm.ai/,https://www.linkedin.com/company/aistorm/,"AIStorm is the AI-in-Sensor company pioneering charge domain machine learning authentication, integrated imager (camera on chip), audio and motion sensing chips & AI solutions at 200x less power and 5x lower cost than competitors, as well as first in class high speed imaging solutions.","AR/VR/XR, Artificial Intelligence, Imaging, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001NuJb5AAF,
"Aiworks Global, Inc.","Venetian Expo, Halls A-D - 55523","5800 Southwind Lane McKinney, TX 75070, United States",Not Available,Not Available,Not Available,"Artificial Intelligence, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Ix96WQAR,
Aizip,"LVCC, North Hall - 9217","20370 Town Center Lane #252 Cupertino, CA 95014, United States",https://aizip.ai/,https://www.linkedin.com/company/aizip,"Aizip builds tiny AI models for edge and endpoint devices. With 4 years of experience and well established industry partners in consumer, hardware, and enterprise, they build the most robust solutions on the market and have millions of AI models shipping monthly around the world in audio, visual, time-series and language verticals.","Artificial Intelligence, Audio, Digital Health, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003spzKMQAY,
Alat,"LVCC, North Hall Mtg Rms - N220","Tamkeen Tower 12th Floor Olayya Street Al Yasmeen District Riyadh, 13325, Saudi Arabia",https://alat.com/,https://www.linkedin.com/company/alat-technologies/,"Alat is transforming global industries and creating a world-class manufacturing hub in Saudi Arabia, powered by clean energy. Alat's strategic areas include semiconductors, smart devices, smart buildings, smart appliances, smart health, advanced industrials, next gen infrastructure technologies, electrification and AI infrastructure.","Artificial Intelligence, Robotics, Smart Cities, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000004JHhBIAW,
Algorized,"Venetian Expo, Halls A-D - 50435","Route Suisse 8a Etoy, Vaud 1163, Switzerland",https://www.algorized.com/,https://www.linkedin.com/company/algorized/,"Algorized software platform leverages proprietary machine learning algorithms and advanced sensor fusion techniques, including ultra-wideband (UWB) and wireless sensors, to enable real-time human presence sensing, and vital sign monitoring for automotive, industrial and in-door navigation.","Artificial Intelligence, IoT/Sensors, Smart Home and Appliances, Startups, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003OuqVIQAZ,
All-Pro Foundation Repair,"Venetian Expo, Hall G - 60436","223 N Rogers Rd Irving, TX 75061, United States",https://www.allprofr.com/smartfoundation,Not Available,Smart Foundation Monitoring to detect track and evaluate foundation movement.,"Construction Tech, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003GfogIAC,
Allviews Technology,"Venetian Expo, Halls A-D - 54849","1125 E Broadway Rd Tempe, AZ 85282, United States",http://www.allviewstech.com/,Not Available,"Allviews Technology transforms everyday routines with advanced robotics and smart product design. From specialized pet care solutions to versatile home innovations and beyond, we deliver practical applications that make life easier and more efficient.","Artificial Intelligence, Lifestyle, Robotics, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000i5q6HIAQ,
ALMAX,"LVCC, South Hall 3 - 40114","903 5th Ave, Suite 101 Kirkland, WA 98033, United States",https://almaxeis.com/,https://www.linkedin.com/company/almaxeis/,"Design & Manufacturing Services: include Membrane Switches, Capacitive Switches & Sensing, Force Sensing, BioSensors, Smart Keypads, Integrated Assemblies, Rubber Keypads, Graphic Overlays, Printed Electronics, Labels, Nameplates, Rigid or Flexible Printed Circuit Boards & Complete Product Assemblies.","IoT/Sensors, Robotics, Smart Home and Appliances, Sourcing and Manufacturing, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002cESGIA2,
"Alpha Optik(Shenzhen) Co.,Ltd.","LVCC, South Hall 1 - 31664","Building 12, Block A, 19th Floor, 01-04 Ecological Park, Nanshan District, Shenzhen City Guangdong Province, China, SHENZHEN, 518000, China",http://www.isunys.cn/,Not Available,"Alpha Optik(Beijing) Co., Ltd. established in 2008, is an integrating company with high-end lenses, laser light engines, laser projector, and intelligent headlights for the Internet of Vehicles. OEM & ODM business are warmly welcomed.","AR/VR/XR, Gaming and Esports, Home Entertainment and Office Hardware, Smart Home and Appliances, Streaming",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000NVUW4IAP,
"Ambient Scientific, Inc.","Venetian Expo, Halls A-D - 53359","4633 Old Ironsides Drive Suite 280 Santa Clara, CA 95054, United States",https://www.ambientscientific.ai/,https://www.linkedin.com/company/30942865/admin/,"Powered by groundbreaking innovations, Ambient Scientific brings both the software and hardware (Programmable AI processor chip) technologies to unleash the magic of AI in portable, tiny, battery powered electronics devices and Intelligent IoT sensors including AlwaysOn voice, AlwaysOn computer vision and AlwaysOn sensor fusion.","Artificial Intelligence, IoT/Sensors, Smart Home and Appliances, Startups, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001egpuFQAQ,
ams OSRAM,"Venetian, Lvl 3 - San Polo 3403","651 River Oaks Pkwy San Jose, CA 95134, United States",https://www.ams-osram.com/,https://www.linkedin.com/company/ams-osram/,"The ams OSRAM Group is a global leader in intelligent sensors and emitters. By adding intelligence to light and passion to innovation, we enrich people’s lives. Our invited guests will “Sense the Power of Light” through interactive displays that show how our inspirational solutions are driving innovation in many industries.","AR/VR/XR, Digital Health, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaMU7AAN,
"An And Luck Co., Ltd.","Venetian Expo, Halls A-D - 56546","85, Buil-ro 815beon-gil Bucheon-Si, 14665, South Korea",http://www.publiccare.co.kr/,Not Available,Not Available,"Accessibility, Digital Health, Lifestyle, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000Q3HQOIA3,
"Anhui Huayu Electronic Technology Co., Ltd.","LVCC, South Hall 1 - 30438","Shouchang East Road Industrial Park Qinlan, Tianchang Anhui, 239341, China",https://huayu.cc/,Not Available,"Anhui Huayu Electronic Technology Co., Ltd was founded in 1988, specializing in the research and development, and the manufacture of remote control and remote-control IC. The company has formed a series of high-tech products with independent intellectual property rights and national patents through long-term accumulation in the field of r","Accessories, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003NCYAKQA5,
Anker Innovations Ltd,"LVCC, South Hall 1 - 31115","10800 NE 8th ST #900 Bellevue, WA 98004, United States",https://www.anker.com/,https://www.linkedin.com/company/ankerinnovations,"Anker Innovations is a global leader in charging and home energy storage technology and a developer of unique, consumer electronic products that support premium audio, mobile entertainment and the emerging smart home space. This innovation is being led by its key brands: Anker, AnkerMake, Anker SOLIX, AnkerWork, eufy, Nebula, Soundcore.","Accessories, Audio, Energy/Power, Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001Ns7lvAAB,
Aqara LLC,"Venetian Expo, Halls A-D - 51455","33W 60th street, Suite 218 New York, NY 10023, United States",https://www.aqara.com/,https://www.linkedin.com/company/aqara,"Aqara has a broad smart home portfolio featuring lighting, door locks, sensors and cameras, and serves 11M+ customers. Focused on simplifying smart homes, Aqara embraces the Matter standard, ensuring compatibility with HomeKit, Alexa, Google, and SmartThings, and continually innovates for seamless integration and enhanced user experience.","IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003sqC7EQAU,
Ara Robotics,"Venetian Expo, Hall G - 63500","Koc Kuleleri A blok 13 Sogutozu Cankaya, Ankara, - 06540, Turkey",https://ararobotics.eu/,https://www.linkedin.com/company/ararobotics,"Ara Robotik designs, develops and builds fully autonomous commercial floor maintenance and inspection robots, completely manufactured in Turkiye, that solve the need to maintain constant cleanliness and integrity of a facility’s premises with maximum efficiency and sustainability of resources.","Artificial Intelligence, Construction Tech, Robotics, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000lAKGyIAO,
Asahi Kasei Microdevices Corporation,"Venetian Expo, Halls A-D - 54418","Hibiya Mitsui Tower 1-1-2 Yurakucho Chiyoda-ku, Toky 100-0006, Japan",https://www.akm.com/us/en/,https://www.linkedin.com/company/akm-semiconductor,Asahi Kasei Microdevices (AKM) operates an electronic components business as a member of the Asahi Kasei Group's material sector. AKM provides customers with unique products by combining the compound semiconductor technology mainly used for magnetic sensors with the ASIC/analog circuit technology based on silicon semiconductors.,"Audio, Digital Health, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001aJUGVQA4,
Atmosic Technologies,"Venetian Tower, Hospitality - Venetian Palazzo Hospitality Suites","2105 S Bascom Avenue, #220 Campbell, CA 95008, United States",https://atmosic.com/,https://www.linkedin.com/company/atmosic-technologies,Wireless connectivity solutions that radically reduce IoT's dependence on batteries. We aim to enable developers to create IoT devices that either have batteries that last forever or operate battery-free.,"Energy/Power, Home Entertainment and Office Hardware, IoT/Sensors, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001YW5MmQAL,
"AuGroup (Shenzhen) Cross-Border Business Co., Ltd.","LVCC, South Hall 1 - 30508","Room 102 Building P09, South China City Electronics Trading Center, Longgang District Shenzhen, GD 518111, China",https://www.aukey.com/,Not Available,Not Available,"Accessories, Audio, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001QC0fmQAD,
Autel Energy,"LVCC, West Hall - 4474","36 Harbor Park Drive Port Washington, NY 11050, United States",https://autelenergy.com/,https://www.linkedin.com/company/autel-energy-north-america/mycompany/,"Autel Energy is a global leader in the development and manufacturing of electric vehicle (EV) charging solutions; featuring comprehensive cloud management and reporting. With a strong focus on performance, reliability and driver experience, Autel is at the forefront of the transition to a cleaner, more efficient transportation ecosystem.","Energy/Power, Smart Cities, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003IunSdQAJ,
Avishkaran Industries Pvt Ltd,"LVCC, South Hall 3 - 40423","Industry Park Hyderabad, - 500031, India",http://www.mivi.in/,Not Available,"India's biggest Audio manufacturer, Avishkaran Industries, has a decade of experience in audio and the strength of creating world-class products. With a team of 1500+ employees, it is an ODM that has created outstanding products in earphones and soundbars.","Accessories, Audio, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mXshDIAS,
"AxEnd, Inc.","LVCC, North Hall - 8241","12045 E Waterfront Dr., Suite 450 Playa Vista, CA 90094, United States",https://www.ax-end.com/,Not Available,"AxEnd, Inc. is a radar modules and solutions company. Showcasing a range of Radar products from senior care to security and drone detection. Come check us out!","Digital Health, Drones, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001XVdqaQAD,
Baracoda Daily Healthtech,"Venetian Expo, Hall G - 60401","115 Avenue Charles de Gaulle Neuilly-sur-Seine, 92200, France",http://www.baracoda.com/en,https://www.linkedin.com/company/baracoda-group,Baracoda Daily Healthtech uses its IoT expertise to create innovative smart products that empower people to take control of their daily health.,"Digital Health, Fitness, IoT/Sensors, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVX8AAP,
BarBeast Corporation,"Venetian Expo, Halls A-D - 51416","203 Steely Irvine, CA 92614, United States",https://www.barbeast.ai/,Not Available,Not Available,"Artificial Intelligence, Fashion Tech, Food Tech, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000iagXJIAY,
"Baseus Technology (HK) Co., Limited","LVCC, South Hall 1 - 31148","FLAT/RM 185 G/F HANG WAI IND CENTRE NO.6 KIN TAI ST TUEN MUN NT HONG KONG Hongkong, Kwun Tong, 1040061, 000000, China",https://www.baseus.com/,Not Available,"Baseus, derives from ""Base on User"". We create consumer electronics products that are seamlessly practical and aesthetic.","Audio, Home Entertainment and Office Hardware, Metaverse, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003lhAfgQAE,
"Beijing ESWIN Computing Technology Co., Ltd.","Venetian Tower, Hospitality - Venetian Palazzo Hospitality Suites","Jingdongbei Science Park, No.18, Kechuang 10th ST, BDA Beijing, 100176, China",https://www.eswincomputing.com/en/,Not Available,ESWIN Computing is an IC and solutions provider of new-generation computing architecture with RISC-V as the foundation.,"5G Technologies, Artificial Intelligence, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gzAdRIAU,
